parking,parking_count
,0
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
B1-20,1
G-37,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
,0
,0
1,1
1,1
1,1
,0
1,1
1,1
,0
1,1
2,1
DMCC-L2-2037,1
1,1
1,1
1,1
1,1
,0
,0
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
2,1
,0
1,1
2,1
,0
1,1
1,1
,0
1,1
,0
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
2,1
,0
1,1
1,1
1,1
1,1
,0
1,1
1,1
2,1
,0
1,1
1,1
3,1
2,1
1,1
1  1,1
B1-424,1
1,1
,0
3,1
1,1
1,1
1,1
1,1
G-64,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
,0
P5-17,1
2,1
,0
1,1
3,1
"B2-20,B2-22",2
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1  0,1
1,1
1,1
1,1
,0
1,1
B2-52,1
,0
1,1
1,1
1,1
,0
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
2,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
G-77,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
B-59,1
1  0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
G-19,1
G-108,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
G-92,1
1,1
1,1
1,1
G-58,1
1,1
"G-76,G-02",2
1,1
1,1
1,1
G-31,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
EU,0
1,1
1,1
1,1
1,1
1,1
,0
,0
1,1
1,1
B2-219,1
2,1
1,1
1,1
1,1
2,1
G-36,1
1,1
1,1
1,1
1,1
1,1
,0
B2-76,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
EU,0
2,1
1,1
1,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
2,1
1,1
1,1
1,1
,0
1,1
2,1
1,1
1,1
,0
1,1
1,1
1,1
,0
,0
1,1
1,1
,0
1,1
1,1
,0
3,1
,0
1,1
2,1
,0
3,1
,0
,0
1,1
,0
1,1
1,1
1,1
1,1
B-213,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
,0
,0
1,1
,0
DMCC-L1-1105,1
1,1
1,1
1,1
1,1
,0
1,1
,0
1,1
1,1
L4-603,1
1,1
,0
1,1
,0
2,1
"L2-245,L2-T01",2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
L1-104,1
"L1-120,L1-121",2
2,1
"L1-107,L1-108",2
1,1
1,1
L1-101,1
"L1-105,L1-106",2
1,1
"L1-102,L1-103",2
L1-119,1
,0
,0
2,1
1,1
L1-109,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
,0
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
4,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
2,1
1,1
B2-77,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
