area_en,project_name_en_count,nearest_landmark_en_count,nearest_metro_en_count,nearest_mall_en_count,master_project_en_count,latitude,longitude
LIVING LEGENDS,9,2,1,0,0,25.0850789,55.2981217
LIWAN,42,1,0,0,0,25.1104513044079,55.3698224401051
LIWAN 2,1,1,0,0,0,25.1214280298269,55.3962626339929
Lehbab First,0,0,0,0,0,25.0569187264145,55.5906090474872
Lehbab Second,0,0,0,0,0,25.0333935247178,55.5811281724245
MAJAN,18,1,0,0,0,25.0929388,55.3184835
MARSA AL ARAB,1,1,1,1,0,25.1443793,55.18950369674157
MBR DISTRICT 1,27,1,1,1,0,25.16446002330713,55.27433999415931
MBR DISTRICT 7,1,1,2,1,0,25.19475815,55.27805910442858
MEDYAN RACE COURSE VILLAS,0,1,3,1,0,25.19475815,55.27805910442858
MEYDAN AVENUE,8,1,2,1,0,25.15913045,55.29614386605405
MEYDAN ONE,57,1,1,1,1,25.1725019,55.28710370781371
MILLENNIUM,1,1,1,1,0,25.19475815,55.27805910442858
MINA RASHID,1,1,1,1,0,25.2600528,55.2751074
MIRA,8,1,0,0,0,25.00866025,55.30553609890601
MOTOR CITY,7,2,2,1,0,25.04299545,55.24316511339241
MUDON,6,2,0,0,0,25.0204108,55.2679936
Madinat Al Mataar,34,0,0,0,0,24.890272,55.1428455
Madinat Dubai Almelaheyah,9,0,0,0,0,25.2496256,55.276165
Madinat Hind 3,0,0,0,0,0,25.0285903836047,55.4207235047901
Madinat Hind 4,41,0,0,0,0,25.0077507,55.3637056
Madinat Latifa,0,0,0,0,0,24.8990386,55.2785861
Mankhool,0,2,3,1,0,25.251801,55.29777548332489
Marsa Dubai,9,1,2,1,0,25.23116035,55.34646274347939
Me'Aisem First,3,0,0,0,0,25.0771249,55.135842
Me'Aisem Second,4,0,0,0,0,25.0404579229478,55.1968264338055
Mena Jabal Ali,0,1,1,0,0,24.9804578,55.0598883
Mirdif,4,1,2,1,0,25.2150727,55.4089036
Mugatrah,0,0,0,0,0,24.7923464,55.1951843
Muhaisanah First,0,1,2,1,0,25.2521287,55.365715576690505
Muhaisanah Fourth,0,1,1,1,0,25.2521287,55.365715576690505
Muhaisanah Second,0,1,1,1,0,25.2521287,55.365715576690505
Muhaisanah Third,0,1,2,1,0,25.2521287,55.365715576690505
Muragab,0,0,0,0,0,25.2655829412902,55.3241109237456
Mushrif,0,1,1,1,0,25.2142599,55.4506587
